ISBN-13,Google Books ID,Reading List ID,Title,Subtitle,Authors,Page Count,Publication Date,Publisher,Description,Subjects,Language Code,Started Reading,Paused,Finished Reading,Did Not Finish,Current Page,Current Percentage,Rating,Notes,Lists
9780807014295,kDOlPwAACAAJ,,Man's Search for Meaning,,"Frankl, Viktor E.; Lasch, Ilse; Kushner, Harold S.",165,,Beacon Press,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Between 1942 and 1945 Frankl labored in four different camps, including Auschwitz, while his parents, brother, and pregnant wife perished. Based on his own experience and the experiences of those he treated in his practice, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. Frankl's theory—known as logotherapy, from the Greek word logos (""meaning"")—holds that our primary drive in life is not pleasure, as Freud maintained, but the discovery and pursuit of what we personally find meaningful.

At the time of Frankl's death in 1997, Man's Search for Meaning had sold more than 10 million copies in twenty-four languages. A 1991 reader survey by the Library of Congress and the Book-of-the-Month Club that asked readers to name a ""book that made a difference in your life"" found Man's Search for Meaning among the ten most influential books in America.

Born in Vienna in 1905 Viktor E. Frankl earned an M.D. and a Ph.D. from the University of Vienna. He published more than thirty books on theoretical and clinical psychology and served as a visiting professor and lecturer at Harvard, Stanford, and elsewhere. In 1977 a fellow survivor, Joseph Fabry, founded the Viktor Frankl Institute of Logotherapy. Frankl died in 1997.

Harold S. Kushner is rabbi emeritus at Temple Israel in Natick, Massachusetts, and the author of several best-selling books, including When Bad Things Happen to Good People.

William J. Winslade is a philosopher, lawyer, and psychoanalyst at the University of Texas Medical School in Galveston.",Counseling; Psychology; Psychotherapy; Social Psychology,en,,,,,,,,,
9781647100131,dGixzAEACAAJ,,The Oppenheimer Alternative,,"Sawyer, Robert J.",374,,Caezik Sf & Fantasy,"""Science fiction fans will devour this smart speculative tale.""--Publishers Weekly

A nail-biting new science fiction thriller from Robert J. Sawyer; the all-time worldwide leader in award-wins as a science fiction or fantasy novelist.

""Well worth reading.--Analog Science Fiction and Fact

""Really great, a page turner. I was hooked from the beginning to the end.""--Andre Bormanis, co-executive producer, The Orville and Cosmos

On the 75th anniversary of the dropping of the atomic bomb, Hugo and Nebula-winning author Robert J. Sawyer takes us back in time to revisit history...with a twist.

While J. Robert Oppenheimer and his Manhattan Project team struggle to develop the A-bomb, Edward Teller wants something even more devastating: a bomb based on nuclear fusion--the mechanism that powers the sun.

Teller's research leads to a terrifying discovery: by the year 2030, the sun will eject its outermost layer, destroying the entire inner solar system--including Earth.

As the war ends with the use of fission bombs against Japan, Oppenheimer's team, plus Albert Einstein and Wernher von Braun, stay together--the greatest scientific geniuses from the last century racing against time to save our future.

Meticulously researched and replete with real-life characters and events, The Oppenheimer Alternative is a breathtaking adventure through both real and alternate history.",Action & Adventure; Fiction; Hard Science Fiction; Science Fiction; Time Travel,en,,,,,,,,,
9780857197689,P_xcEAAAQBAJ,,The Psychology of Money,"Timeless Lessons on Wealth, Greed, and Happiness","Housel, Morgan",256,,Harriman House,"Memiliki uang yang banyak bagi sebagian orang bisa membuat diri sendiri menjadi senang. Namun, ternyata memiliki uang yang banyak tak selamanya menyenangkan, sehingga sebagian orang merasa takut dan bingung. Dengan kata lain, memiliki uang yang banyak bisa memunculkan kesenangan atau kesejahteraan dan kesengsaraan. Itulah sebabnya mengapa seseorang harus memiliki sikap dan kemampuan mengelola keuangan yang baik dan benar. Jika, seseorang tidak memiliki sikap dan kemampuan mengelola keuangan dengan baik dan benar, maka uang dapat menyebabkan kesengsaraan. Namun, apabila seseorang memiliki kemampuan dan sikap yang baik dalam mengelola keuangan, maka kesejahteraan dalam hidup bisa dibilang akan terjamin. Nah, bagi Anda yang ingin mengetahui bagaimana caranya mengelola keuangan dan mengeluarkan yang dengan bijak, buku “The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness” akan membantu Anda dalam mengatur keuangan dengan baik. Buku ini menjelaskan kondisi keuangan seseorang sangat dipengaruhi dengan psikologi atau pola pikir seseorang. Buku ini terdiri dari 262 halaman yang di mana setiap halamannya sangat ringkas dan mudah dipahami. Dari 262 halaman itu, Morgan Housel sebagai penulis buku The Psychology of Money membuat 19 cerita pendek. Setiap cerita pendek yang ada di dalam buku ini selalu berkaitan dengan duit dengan manusia. Selain itu, penulis membuat cerita pendek dengan menggunakan sudut pandang perilaku manusia, sehingga setelah selesai membaca buku ini, pembaca akan menemukan sudut pandang baru dalam menyikapi duit yang dimiliki. Sinopsis Doing well with money isn’t necessarily about what you know. It’s about how you behave. And behavior is hard to teach, even to really smart people. Money—investing, personal finance, and business decisions—is typically taught as a math-based field, where data and formulas tell us exactly what to do. But in the real world people don’t make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your own unique view of the world, ego, pride, marketing, and odd incentives are scrambled together. In The Psychology of Money, award-winning author Morgan Housel shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life’s most important topics. Yuk segera dapatkan buku ini di Gramedia! Detail Jumlah Halaman 256 Penerbit Macmillan Uk Tanggal Terbit 9 Jul 2022 Berat 0.285 kg ISBN 9780857197689 Lebar 13.5 cm Bahasa English Panjang 21.5 cm",Business & Economics; Finance; Investing; Money Management; Personal Finance; Wealth Management,en,,,,,,,,,
9781451677614,2G2TlJOhGI8C,,The Making of the Atomic Bomb,25th Anniversary Edition,"Rhodes, Richard",896,,Simon and Schuster,"The definitive history of nuclear weapons and the Manhattan Project. From the turn-of-the-century discovery of nuclear energy to the dropping of the first bombs on Japan, Richard Rhodes’s Pulitzer Prize–winning book details the science, the people, and the sociopolitical realities that led to the development of the atomic bomb.

This sweeping account begins in the 19th century, with the discovery of nuclear fission, and continues to World War Two and the Americans’ race to beat Hitler’s Nazis. That competition launched the Manhattan Project and the nearly overnight construction of a vast military-industrial complex that culminated in the fateful dropping of the first bombs on Hiroshima and Nagasaki.

Reading like a character-driven suspense novel, the book introduces the players in this saga of physics, politics, and human psychology—from FDR and Einstein to the visionary scientists who pioneered quantum theory and the application of thermonuclear fission, including Planck, Szilard, Bohr, Oppenheimer, Fermi, Teller, Meitner, von Neumann, and Lawrence.

From nuclear power’s earliest foreshadowing in the work of H.G. Wells to the bright glare of Trinity at Alamogordo and the arms race of the Cold War, this dread invention forever changed the course of human history, and The Making of The Atomic Bomb provides a panoramic backdrop for that story.

Richard Rhodes’s ability to craft compelling biographical portraits is matched only by his rigorous scholarship. Told in rich human, political, and scientific detail that any reader can follow, The Making of the Atomic Bomb is a thought-provoking and masterful work.",20th Century; History; Military; Nuclear; Nuclear Warfare; Physics; Science; United States; Wars & Conflicts; World War II,en,,,,,,,,,
9781633889224,EYJVzwEACAAJ,,The Case for Space,How the Revolution in Spaceflight Opens Up a Future of Limitless Possibility,"Zubrin, Robert",406,,Prometheus Books,"""In his new book, The Case For Space: How the Revolution in Spaceflight Opens Up a Future of Limitless Possibility, famed astronautical engineer Bob Zubrin talks about the how and the why of our new exploratory era. It's a must-read for anyone interested in the subject, and will probably be read by historians of our era centuries hence. I find Zubrin's arguments compelling, and I think you just might, too. I highly recommend his book, not only for its excellent analysis, but also as a source of perspective on today's news. "" -- Glenn Harlan Reynolds, Opinion columnist, USA Today

A new space race has begun. But the rivals in this case are not superpowers but competing entrepreneurs. These daring pioneers are creating a revolution in spaceflight that promises to transform the near future. Astronautical engineer Robert Zubrin spells out the potential of these new developments in an engrossing narrative that is visionary yet grounded by a deep understanding of the practical challenges. Fueled by the combined expertise of the old aerospace industry and the talents of Silicon Valley entrepreneurs, spaceflight is becoming cheaper. The new generation of space explorers has already achieved a major breakthrough by creating reusable rockets. Zubrin foresees more rapid innovation, including global travel from any point on Earth to another in an hour or less; orbital hotels; moon bases with incredible space observatories; human settlements on Mars, the asteroids, and the moons of the outer planets; and then, breaking all limits, pushing onward to the stars. Zubrin shows how projects that sound like science fiction can actually become reality. But beyond the how, he makes an even more compelling case for why we need to do this--to increase our knowledge of the universe, to make unforeseen discoveries on new frontiers, to harness the natural resources of other planets, to safeguard Earth from stray asteroids, to ensure the future of humanity by expanding beyond its home base, and to protect us from being catastrophically set against each other by the false belief that there isn't enough for all.",TRANSPORTATION,en,,,,,,,,,
9780316440691,B5s8zAEACAAJ,,The Doomsday Calculation,How an Equation that Predicts the Future Is Transforming Everything We Know About Life and the Universe,"Poundstone, William",320,,"Little, Brown","From the author of Are You Smart Enough to Work at Google?, a fascinating look at how an equation that foretells the future is transforming everything we know about life, business, and the universe.

In the 18th century, the British minister and mathematician Thomas Bayes devised a theorem that allowed him to assign probabilities to events that had never happened before. It languished in obscurity for centuries until computers came along and made it easy to crunch the numbers. Now, as the foundation of big data, Bayes' formula has become a linchpin of the digital economy.

But here's where things get really interesting: Bayes' theorem can also be used to lay odds on the existence of extraterrestrial intelligence; on whether we live in a Matrix-like counterfeit of reality; on the ""many worlds"" interpretation of quantum theory being correct; and on the biggest question of all: how long will humanity survive?

The Doomsday Calculation tells how Silicon Valley's profitable formula became a controversial pivot of contemporary thought. Drawing on interviews with thought leaders around the globe, it's the story of a group of intellectual mavericks who are challenging what we thought we knew about our place in the universe. The Doomsday Calculation is compelling reading for anyone interested in our culture and its future.",Astrophysics; Bayesian Analysis; Computers; Cosmology; Information Technology; Mathematics; Physics; Probability & Statistics; Science; Space Science,en,,,,,,,,,
9781982130671,dOR-EAAAQBAJ,,The Star Builders,Nuclear Fusion and the Race to Power the Planet,"Turrell, Arthur",272,,Simon and Schuster,"From a young, award-winning scientist, a “thoughtful and illuminating” (Nature) look at one of the most compelling and historic turning points of our time—the race to harness the power of the stars and produce controlled fusion, creating a practically unlimited supply of clean energy.

The most important energy-making process in the universe takes place inside stars. The ability to duplicate that process in a lab, once thought impossible, may now be closer than we think. Today, teams of scientists around the world are being assembled by the boldest entrepreneurs, big business, and governments to solve what is the most difficult technological challenge humanity has ever faced: building the equivalent of a star on earth. If their plans to capture star power are successful, they will unlock thousands, potentially millions, of years of clean, carbon-free energy.

Not only would controlled nuclear fusion help solve the climate crisis, it could also make other highly desired technological ambitions possible—like journeying to the stars. Given the rising alarm over deterioration of the environment, and the strides being made in laser and magnetic field technology, powerful momentum is gathering behind fusion and the possibilities it offers.

In The Star Builders, award-winning young plasma physicist Arthur Turrell “offers an optimistic outlook for the future of fusion power and is adamant about the need to invest in it” (The New York Times). Turrell describes fascinating star machines with ten times as many parts as the NASA Space Shuttle, and structures that extend over 400 acres in an accessible and entertaining account, spotlighting the individuals, firms, and institutions racing for the finish line: science-minded entrepreneurs like Jeff Bezos and Peter Thiel, companies like Goldman Sachs and Google, universities like Oxford and MIT, and virtually every rich nation.

It’s an exciting and game-changing international quest that will make all of us winners.",Experiments & Projects; Global Warming & Climate Change; Nuclear; Physics; Science,en,,,,,,,,,
9781942788294,_EnZAQAACAAJ,,The Phoenix Project,"A Novel about IT, DevOps, and Helping Your Business Win","Kim, Gene; Behr, Kevin; Spafford, George",432,,IT Revolution,"Five years after this sleeper hit took on the world of IT and flipped it on it's head, the 5th Anniversary Edition of The Phoenix Project continues to guide IT in the DevOps revolution. In this newly updated and expanded edition of the bestselling The Phoenix Project, co-author Gene Kim includes a new afterword and a deeper delve into the Three Ways as described in The DevOps Handbook. Bill, an IT manager at Parts Unlimited, has been tasked with taking on a project critical to the future of the business, code named Phoenix Project. But the project is massively over budget and behind schedule. The CEO demands Bill must fix the mess in ninety days or else Bill's entire department will be outsourced. With the help of a prospective board member and his mysterious philosophy of The Three Ways, Bill starts to see that IT work has more in common with a manufacturing plant work than he ever imagined. With the clock ticking, Bill must organize work flow streamline interdepartmental communications, and effectively serve the other business functions at Parts Unlimited. In a fast-paced and entertaining style, three luminaries of the DevOps movement deliver a story that anyone who works in IT will recognize. Readers will not only learn how to improve their own IT organizations, they'll never view IT the same way again.",,en,2024-02-07,,,,188,,,,
9781838693619,2WIF0AEACAAJ,,Lonely Planet Iceland 13,,"Planet, Lonely",352,,Lonely Planet Global Limited,"Lonely Planet's local travel experts reveal all you need to know to plan the trip of a lifetime to Iceland.

Discover popular and off the beaten track experiences from sailing among majestic icebergs in Iceland's most famous glacier lagoon, Jökulsárlón; to devouring lobster at the authentic small-town festival of Humarhátíð; and exploring þingvellir National Park on horseback.

Build a trip to remember with Lonely Planet's Iceland Travel Guide:

Our classic guidebook format provides you with the most comprehensive level of information for planning multi-week tripsUpdated with an all new structure and design so you can navigate Iceland and connect experiences together with easeCreate your perfect trip with exciting itineraries for extended journeys combined with suggested day trips, walking tours, and activities to match your passionsGet fresh takes on must-visit sights and swim between the continents at Silfra Fissure, explore Katla Geopark, hike through Snæfellsjökull National ParkSpecial features on capturing the Northern Lights, Reykjavik food and nightlife, and road trip through the WestfjordsExpert local recommendations on when to go, eating, drinking, nightlife, shopping, accommodation, adventure activities, festivals, and moreEssential information toolkit containing tips on arriving; transport; making the most of your time and money; LGBTIQ+ travel advice; useful words and phrases; accessibility; and responsible travelConnect with Icelandic culture through stories that delve deep into local life, history, and traditions Inspiring full-colour travel photography and maps including a pull out map of ReykjavikCovers Reykjavik, Southwest Iceland & the Golden Circle, Southeast Iceland, West Iceland, The Westfjords, North Iceland, East Iceland, The Highlands

Create a trip that's uniquely yours and get to the heart of this extraordinary country with Lonely Planet's Iceland.",Europe; History; Iceland & Greenland; Nordic Countries; Reference; Travel; Western,en,2024-04-29,,,,1,,,,
9780312854270,HbBZQtf9MGAC,,The Fires of Heaven,Book Five of 'The Wheel of Time',"Jordan, Robert",702,,Macmillan,"The Wheel of Time (R) is a PBS Great American Read Selection Now in development for TV 

Since its debut in 1990, The Wheel of Time(R) by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters.

The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow.

Into the forbidden city of Rhuidean, where Rand al'Thor, now the Dragon Reborn, must conceal his present endeavor from all about him, even Egwene and Moiraine.

Into the Amyrlin's study in the White Tower, where the Amyrlin, Elaida do Avriny a'Roihan, is weaving new plans.

Into the luxurious hidden chamber where the Forsaken Rahvin is meeting with three of his fellows to ensure their ultimate victory over the Dragon.

Into the Queen's court in Caemlyn, where Morgase is curiously in thrall to the handsome Lord Gaebril.

For once the dragon walks the land, the fires of heaven fall where they will, until all men's lives are ablaze.

And in Shayol Ghul, the Dark One stirs...

TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC's ""Agents of SHIELD,"" the Netflix series ""Hemlock Grove,"" and the NBC series ""Chuck."" Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar's Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan's widow Harriet McDougal serving as consulting producer."" --Variety

The Wheel of Time(R)
New Spring: The Novel
#1 The Eye of the World
#2 The Great Hunt
#3 The Dragon Reborn
#4 The Shadow Rising
#5 The Fires of Heaven
#6 Lord of Chaos
#7 A Crown of Swords
#8 The Path of Daggers
#9 Winter's Heart
#10 Crossroads of Twilight
#11 Knife of Dreams

By Robert Jordan and Brandon Sanderson
#12 The Gathering Storm
#13 Towers of Midnight
#14 A Memory of Light

By Robert Jordan and Teresa Patterson
The World of Robert Jordan's The Wheel of Time

By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons
The Wheel of Time Companion

By Robert Jordan and Amy Romanczuk
Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time",Action & Adventure; Epic; Fantasy; Fiction,en,2024-07-09,,,,,,,,
